,Коммандировка,Опыт,О себе,Образование,Интересы,Ссылка
0,"Москва, не готов к переезду, не готов к командировкам",Опыт работы 5 лет,"За последние годы я убедился в том, что мне интересно заниматься аналитикой процессов и анализом эмпирических показателей, обучаться новому, обрабатывать информацию и работать с большими объемами данных.","Высшее образование (Магистр)
2021
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Спектроскопия полупроводников
2019
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Молекулярная электроника, физика полупроводников","Специализации:
Аналитик
Занятость: полная занятость
График работы: полный день",https://hh.ru/resume/a0ab12d000087ed0520039ed1f384d59475963?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&source=search&hhtmFrom=resumes_catalog
1,"Москва, не готов к переезду, не готов к командировкам",Опыт работы 5 лет,"За последние годы я убедился в том, что мне интересно заниматься аналитикой процессов и анализом эмпирических показателей, обучаться новому, обрабатывать информацию и работать с большими объемами данных.","Высшее образование (Магистр)
2021
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Спектроскопия полупроводников
2019
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Молекулярная электроника, физика полупроводников","Специализации:
Аналитик
Занятость: полная занятость
График работы: полный день",https://hh.ru/resume/0d66f5d10005e944560039ed1f593175665047?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&source=search&hhtmFrom=resumes_catalog
2,"Москва, не готов к переезду, не готов к командировкам",Опыт работы 5 лет,"За последние годы я убедился в том, что мне интересно заниматься аналитикой процессов и анализом эмпирических показателей, обучаться новому, обрабатывать информацию и работать с большими объемами данных.","Высшее образование (Магистр)
2021
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Спектроскопия полупроводников
2019
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Молекулярная электроника, физика полупроводников","Специализации:
Аналитик
Занятость: полная занятость
График работы: полный день",https://hh.ru/resume/a94ca4350007f48d040039ed1f377442384f6d?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&source=search&hhtmFrom=resumes_catalog
3,"Москва, не готов к переезду, не готов к командировкам",Опыт работы 5 лет,"За последние годы я убедился в том, что мне интересно заниматься аналитикой процессов и анализом эмпирических показателей, обучаться новому, обрабатывать информацию и работать с большими объемами данных.","Высшее образование (Магистр)
2021
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Спектроскопия полупроводников
2019
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Молекулярная электроника, физика полупроводников","Специализации:
Аналитик
Занятость: полная занятость
График работы: полный день",https://hh.ru/resume/af4f82c5000837ce180039ed1f4d4131436730?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&source=search&hhtmFrom=resumes_catalog
4,"Москва, не готов к переезду, не готов к командировкам",Опыт работы 5 лет,"За последние годы я убедился в том, что мне интересно заниматься аналитикой процессов и анализом эмпирических показателей, обучаться новому, обрабатывать информацию и работать с большими объемами данных.","Высшее образование (Магистр)
2021
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Спектроскопия полупроводников
2019
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Молекулярная электроника, физика полупроводников","Специализации:
Аналитик
Занятость: полная занятость
График работы: полный день",https://hh.ru/resume/5c024c010000bdcdbd0039ed1f736563726574?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&source=search&hhtmFrom=resumes_catalog
5,"Москва, не готов к переезду, не готов к командировкам",Опыт работы 5 лет,"За последние годы я убедился в том, что мне интересно заниматься аналитикой процессов и анализом эмпирических показателей, обучаться новому, обрабатывать информацию и работать с большими объемами данных.","Высшее образование (Магистр)
2021
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Спектроскопия полупроводников
2019
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Молекулярная электроника, физика полупроводников","Специализации:
Аналитик
Занятость: полная занятость
График работы: полный день",https://hh.ru/resume/a460bf600008813d1e0039ed1f7252726c6475?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&source=search&hhtmFrom=resumes_catalog
6,"Москва, не готов к переезду, не готов к командировкам",Опыт работы 5 лет,"За последние годы я убедился в том, что мне интересно заниматься аналитикой процессов и анализом эмпирических показателей, обучаться новому, обрабатывать информацию и работать с большими объемами данных.","Высшее образование (Магистр)
2021
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Спектроскопия полупроводников
2019
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Молекулярная электроника, физика полупроводников","Специализации:
Аналитик
Занятость: полная занятость
График работы: полный день",https://hh.ru/resume/1d5acdda0008d6a0580039ed1f4a7241334b35?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&source=search&hhtmFrom=resumes_catalog
7,"Москва, не готов к переезду, не готов к командировкам",Опыт работы 5 лет,"За последние годы я убедился в том, что мне интересно заниматься аналитикой процессов и анализом эмпирических показателей, обучаться новому, обрабатывать информацию и работать с большими объемами данных.","Высшее образование (Магистр)
2021
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Спектроскопия полупроводников
2019
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Молекулярная электроника, физика полупроводников","Специализации:
Аналитик
Занятость: полная занятость
График работы: полный день",https://hh.ru/resume/2f749adc0008c72cd80039ed1f763666707867?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&source=search&hhtmFrom=resumes_catalog
8,"Москва, не готов к переезду, не готов к командировкам",Опыт работы 5 лет,"За последние годы я убедился в том, что мне интересно заниматься аналитикой процессов и анализом эмпирических показателей, обучаться новому, обрабатывать информацию и работать с большими объемами данных.","Высшее образование (Магистр)
2021
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Спектроскопия полупроводников
2019
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Молекулярная электроника, физика полупроводников","Специализации:
Аналитик
Занятость: полная занятость
График работы: полный день",https://hh.ru/resume/7d73f7a6000791ba650039ed1f754c38477469?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&source=search&hhtmFrom=resumes_catalog
9,"Москва, не готов к переезду, не готов к командировкам",Опыт работы 5 лет,"За последние годы я убедился в том, что мне интересно заниматься аналитикой процессов и анализом эмпирических показателей, обучаться новому, обрабатывать информацию и работать с большими объемами данных.","Высшее образование (Магистр)
2021
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Спектроскопия полупроводников
2019
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Молекулярная электроника, физика полупроводников","Специализации:
Аналитик
Занятость: полная занятость
График работы: полный день",https://hh.ru/resume/f272fc6a00030e738b0039ed1f4d3830324877?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&source=search&hhtmFrom=resumes_catalog
10,"Москва, не готов к переезду, не готов к командировкам",Опыт работы 5 лет,"За последние годы я убедился в том, что мне интересно заниматься аналитикой процессов и анализом эмпирических показателей, обучаться новому, обрабатывать информацию и работать с большими объемами данных.","Высшее образование (Магистр)
2021
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Спектроскопия полупроводников
2019
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Молекулярная электроника, физика полупроводников","Специализации:
Аналитик
Занятость: полная занятость
График работы: полный день",https://hh.ru/resume/2ff8ea3e00080e2a630039ed1f566263377769?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&source=search&hhtmFrom=resumes_catalog
11,"Москва, не готов к переезду, не готов к командировкам",Опыт работы 5 лет,"За последние годы я убедился в том, что мне интересно заниматься аналитикой процессов и анализом эмпирических показателей, обучаться новому, обрабатывать информацию и работать с большими объемами данных.","Высшее образование (Магистр)
2021
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Спектроскопия полупроводников
2019
Московский государственный университет им. М.В. Ломоносова, Москва
Физический, Молекулярная электроника, физика полупроводников","Специализации:
Аналитик
Занятость: полная занятость
График работы: полный день",https://hh.ru/resume/232a4ee70008744c570039ed1f363464664267?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&source=search&hhtmFrom=resumes_catalog
