,Вакансия,Ссылка
0,Analyst,https://hh.ru/resume/1aa91e410000fd3cda0039ed1f503365624152?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
1,Аналитик,https://hh.ru/resume/bebf6a630008069d8c0039ed1f62654e484478?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
2,BI аналитик,https://hh.ru/resume/dfbcae000004342d8f0039ed1f4b7958714b4e?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
3,Аналитик Bi,https://hh.ru/resume/993bd0980002dd6cff0039ed1f6f6651625a59?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
4,Программист-разработчик,https://hh.ru/resume/8606f37b000773de980039ed1f434a4e576c52?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
5,Lead аналитики BI,https://hh.ru/resume/c107054800051cb16b0039ed1f58316a514644?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
6,BI аналитик,https://hh.ru/resume/83da3b970003d5d5870039ed1f4836304d3830?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
7,Аналитик,https://hh.ru/resume/ed83cd0600036322170039ed1f78337768467a?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
8,Аналитик BI,https://hh.ru/resume/737fb06500085b633c0039ed1f495944674855?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
9,"Финансовый, бизнес-аналитик, экономист, Lead, Senior BI разработчик",https://hh.ru/resume/9a9dbfc900020665800039ed1f5857386b3177?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
10,BI Аналитик,https://hh.ru/resume/cb836a0400087173bb0039ed1f4974346f376a?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
11,Специалист-аналитик/разработчик (BI),https://hh.ru/resume/3989c9590008ad4b130039ed1f666456614b65?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
12,Бизнес-аналитик,https://hh.ru/resume/826e2f610000880a820039ed1f736563726574?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
13,Аналитик BI,https://hh.ru/resume/c897da44000624a7790039ed1f4d7555524175?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
14,BI аналитик,https://hh.ru/resume/628596ac000657935b0039ed1f3730754f5377?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
15,Аналитик BI/Системный аналитик,https://hh.ru/resume/dbae627d00050518520039ed1f4c79624a374e?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
16,"Аналитик продаж, CRM аналитик, bi аналитик",https://hh.ru/resume/8faebfd80006f173180039ed1f48324543745a?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
17,Аналитик,https://hh.ru/resume/3be8bb9d00022bd3140039ed1f7a566a644e32?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
18,"Аналитик, BI-аналитик, Аналитик данных, Data-Scientist, Бизнес-аналитик",https://hh.ru/resume/e142604300013aa98d0039ed1f774365666d64?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog
