,Unnamed: 0,Unnamed: 0.1,Ссылка,Название,Коммандировка,"Опыт работы, лет",О себе,Образование,Интересы,Навыки,Образование-1,Образование-2,Уровень образование,Кол-во образований,Работа 1,Работа 2,Где работал?,Кол-во работ,Опыт нормализованный,Топовость образования,is_eng?,Уровень оборазования нормализованный,Навыки списком,Релокация?,Коммандировка?,Город?
0,0,0,https://hh.ru/resume/1aa91e410000fd3cda0039ed1f503365624152?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog,Analyst,"Moscow, willing to relocate, prepared for occasional business trips",Work experience 7 years 4 months,"Responsible, communicable, quick study and detail-oriented","Higher education
2015
MOSCOW STATE UNIVERSITY OF MECHANICAL ENGINEERING (MAMI), Moscow
Institute of Economics and Management, Service","Specializations:
Sales manager, account manager
Employment: part time, full time
Work schedule: flexible schedule, full day, shift schedule","Key skills
Analitical thinking
English
Organization Skills
SAP
MS SQL
MS Outlook
MS PowerPoint
Power BI
MS Excel","MOSCOW STATE UNIVERSITY OF MECHANICAL ENGINEERING (MAMI), Moscow",,Higher education,1,"NUTRICIA
Moscow, nutricia.ru
Food Products... Show more
BI Analyst
- Sell-In & Sell-Out Reporting
- Market report (hospital and commercial channels)
- support Sales & Marketing Teams on preparation to Business reviews, cycle meetings, etc. (info about Market share, incremental, etc.)
- technical requirement description and realization in Reporting system via agency (Power BI)
- collect and process data from all departments to visualize key business indicators to colleagues from Head office
- OLAP cube data update","Volkswagen Group Russia
Moscow, www.volkswagengrouprus.ru
IT, System Integration, Internet... Show more
Business processes analyst
- identify business opportunities (Spare Parts business)
- find measures to reduce logistic costs
- prepare business reports for colleagues from Headquarter (Daily, monthly, yearly) and do analysis based on it
- enter and update data (articles, prices, etc.) in SAP system
- support colleagues from Volkswagen Aftersales Team and dealers on finding system solutions
- take part in warehouse inventory","['NUTRICIA\nMoscow, nutricia.ru\nFood Products... Show more\nBI Analyst\n- Sell-In & Sell-Out Reporting\n- Market report (hospital and commercial channels)\n- support Sales & Marketing Teams on preparation to Business reviews, cycle meetings, etc. (info about Market share, incremental, etc.)\n- technical requirement description and realization in Reporting system via agency (Power BI)\n- collect and process data from all departments to visualize key business indicators to colleagues from Head office\n- OLAP cube data update', 'Volkswagen Group Russia\nMoscow, www.volkswagengrouprus.ru\nIT, System Integration, Internet... Show more\nBusiness processes analyst\n- identify business opportunities (Spare Parts business)\n- find measures to reduce logistic costs\n- prepare business reports for colleagues from Headquarter (Daily, monthly, yearly) and do analysis based on it\n- enter and update data (articles, prices, etc.) in SAP system\n- support colleagues from Volkswagen Aftersales Team and dealers on finding system solutions\n- take part in warehouse inventory', 'Volkswagen Group Russia\nMoscow, www.volkswagengrouprus.ru\nAutomotive Business... Show more\nTyres and wheels manager assistant\n-tyres and wheels purchasing and disposition in SAP system\n-delivery control\n-support the required volume of wheels and tyres on stock\n-document management\n-dealers support via ServiceDesk (Customer Care)\n-Russian tyres and wheels market analysis\n-sell in and sell out prices analysis\n-holding on negotiations with representatives of Tyre manufactures\n-making reports and presentations to headquarter', 'ProBusinessBank\nMoscow, www.banklife.ru\nFinancial Sector... Show more\nbusiness-manager\n-researching customers\n-organization and holding on meetings with representatives of companies\n-additional financing of companies\n\nAchievements:\n\n-bank products sales to customers']",4,7;4,False,RU,Высшее образование,"['Key skills', 'Analitical thinking', 'English', 'Organization Skills', 'SAP', 'MS SQL', 'MS Outlook', 'MS PowerPoint', 'Power BI', 'MS Excel']", prepared for occasional business trips, willing to relocate,Moscow
1,1,1,https://hh.ru/resume/628596ac000657935b0039ed1f3730754f5377?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog,BI аналитик,"Москва, не готова к переезду, готова к редким командировкам",Опыт работы 1 год 5 месяцев,"В последние годы проходила обучение без возможности работать.
GPA 8,5.
Курсовая работа по теме ""Создание и разработка базы данных аэропорта"" с оценкой 9.
В данный момент принимаю участие в учебном проекте ""Внедрение системы для автоматизации бюджетирования и консолидации отчетности аэропорта"", где получаю опыт в интервьюировании заказчика, описании бизнес-задач, формализации требований, формировании устава проекта и тд.","Высшее образование (Бакалавр)
2022
Национальный исследовательский университет ""Высшая школа экономики"", Москва
Факультет Бизнеса и Менеджмента, ОП Бизнес Информатика","Специализации:
BI-аналитик, аналитик данных
Аналитик
Занятость: полная занятость
График работы: полный день","Ключевые навыки
Tableau
Power BI
SQL
MS Excel
Python","Национальный исследовательский университет ""Высшая школа экономики"", Москва",,Высшее образование (Бакалавр),1,"Ozon
Младший аналитик
Создание, поддержка и развитие критически важной отчетности отдела планирования и экономики маркетплейса. Сбор требований и формирование тз, подготовка и проверка на корректность данных, разработка дашбордов, сбор фидбека.","OZON
Стажер группы BI аналитики и отчетности
Подготовка отчетности, построение дашбордов в tableau и дальнейшее их развитие, сбор требований, работа с большими данными, написание требований для разработчиков, создание шаблона дашборда для отдела, который помогает делать отчеты быстрее и в едином корпоративном стиле.","['Ozon\nМладший аналитик\nСоздание, поддержка и развитие критически важной отчетности отдела планирования и экономики маркетплейса. Сбор требований и формирование тз, подготовка и проверка на корректность данных, разработка дашбордов, сбор фидбека.', 'OZON\nСтажер группы BI аналитики и отчетности\nПодготовка отчетности, построение дашбордов в tableau и дальнейшее их развитие, сбор требований, работа с большими данными, написание требований для разработчиков, создание шаблона дашборда для отдела, который помогает делать отчеты быстрее и в едином корпоративном стиле.', 'ORIFLAME\noriflame.ru\nТовары народного потребления (непищевые)... Показать еще\nTrainee (BI and Consumer Insight)\nПодготовка отчетов и ad-hoc анализов, отслеживание стандартных процедур по активации консультантов,\nподготовка визуализации материалов для бизнес ревью; выполнение операционных задач']",3,1;5,True,ENG,Бакалавр,"['Ключевые навыки', 'Tableau', 'Power BI', 'SQL', 'MS Excel', 'Python']",,,
2,2,2,https://hh.ru/resume/dfbcae000004342d8f0039ed1f4b7958714b4e?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog,BI аналитик,"Москва, не готова к переезду, готова к командировкам",Опыт работы 3 года 3 месяца,---,"Высшее образование (Бакалавр)
2019
Самарский государственный аэрокосмический университет им. академика С.П. Королева (национальный исследовательский университет), Самара
6, Прикладная математика и информатика","Специализации:
BI-аналитик, аналитик данных
Аналитик
Занятость: стажировка, полная занятость
График работы: гибкий график, полный день","Ключевые навыки
Python
SQL
Умение работать в коллективе
Git
Oracle Pl/SQL
Oracle BI
Apex","Самарский государственный аэрокосмический университет им. академика С.П. Королева (национальный исследовательский университет), Самара",,Высшее образование (Бакалавр),1,"Банк ВТБ (ПАО)
Москва, www.vtbcareer.com
Финансовый сектор... Показать еще
BI разработчик
- Разработка дашбордов и отчетов финансового департамента
- Автоматизация рассылки отчетов для руководства
- Работа в Oracle BI, Apex",---,"['Банк ВТБ (ПАО)\nМосква, www.vtbcareer.com\nФинансовый сектор... Показать еще\nBI разработчик\n- Разработка дашбордов и отчетов финансового департамента\n- Автоматизация рассылки отчетов для руководства\n- Работа в Oracle BI, Apex']",1,3;3,False,ENG,Бакалавр,"['Ключевые навыки', 'Python', 'SQL', 'Умение работать в коллективе', 'Git', 'Oracle Pl/SQL', 'Oracle BI', 'Apex']",,,
3,3,3,https://hh.ru/resume/bebf6a630008069d8c0039ed1f62654e484478?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog,Аналитик,"Санкт-Петербург, м. Гражданский проспект, готов к переезду (Москва), готов к командировкам",Опыт работы 7 лет 2 месяца,"Имею экономическое образование. Продвинутый пользователь ПК, свободно пользуюсь продуктами Microsoft Office. Обладаю знаниями VBA, SQL, HTML, JS, Python. Интересуюсь рынком ценных бумаг, инструментами анализа данных, UI/UX и иностранными языками. В данный момент не нахожусь на территории РФ.","Высшее образование (Бакалавр)
2015
Санкт-Петербургский государственный политехнический университет, Санкт-Петербург
Инженерно-экономический факультет, Финансы и кредит","Специализации:
Аналитик
Занятость: полная занятость
График работы: удаленная работа, гибкий график, полный день","Ключевые навыки
Экономический анализ
Экономическое моделирование
Финансовый анализ
Финансовое моделирование
Английский язык
HTML
CSS
JavaScript
MySQL
MS Access
Грамотная речь
Деловая переписка
MS PowerPoint
MS Office
Python
Анализ данных
Статистический анализ
MS Excel
VBA
Data Analysis
Базы данных
SQL Server
Power bi
Qlikview
Selenium
report builder
Atlassian Jira
Atlassian Confluence
bitbucket","Санкт-Петербургский государственный политехнический университет, Санкт-Петербург",,Высшее образование (Бакалавр),1,"A&D Mortgage
Старший BI аналитик
Создание PowerBI репортов и дашбордов для среднего и высшего менеджмента в сфере ипотечного кредитования США. Проектирование пайплайн-интерфейсов для руководителей отделов с прямым подключением в БД. Разработка форм выгрузки данных для сотрудников с помощью SQL+Report Builder. Самостоятельное исследование новоприобретённой БД без документации. Участие в планировании развития БД и в тестировании нового функционала, непосредственное взаимодействие с бэкенд и фронтенд разработчиками. Ad hoc аналитика для отделов HR, маркетинга, сервиса, продаж. В качестве дополнительной занятости вёл проект по разработке нескольких VBA решений для отдела бухгалтерии. Общение внутри компании по рабочим задачам преимущественно на английском языке. Excel, SQL SSMS, Python, Jira/Confluence/Bitbucket, Visual Studio Code.","Сбер
Санкт-Петербург, rabota.sber.ru/
Финансовый сектор... Показать еще
Старший экономист-аналитик
Управление ликвидностью. Мониторинг и прогнозирование движения наличности в отделениях и устройствах Сбербанка по Санкт-Петербургу и ЛО.
Анализ исторических данных, на основе выводов планирование распределения наличности по городу в рамках бизнес-плана и с учётом времени суток, дней недели, локации, социальных выплат, зарплат, паттернов передвижения людей, особых и форс-мажорных событий. Настройка ПО, создание триггеров и корректирование работы прогнозирующих алгоритмов. Выполнение бизнес-плана, личная ответственность за вверенный участок.
По собственной инициативе: обработка срочных заявок по инженерному сопровождению устройств; в личное время создание инструментов на VBA для ускорения/автоматизации рабочих процессов и упрощения анализа информации из csv отчётов.","['A&D Mortgage\nСтарший BI аналитик\nСоздание PowerBI репортов и дашбордов для среднего и высшего менеджмента в сфере ипотечного кредитования США. Проектирование пайплайн-интерфейсов для руководителей отделов с прямым подключением в БД. Разработка форм выгрузки данных для сотрудников с помощью SQL+Report Builder. Самостоятельное исследование новоприобретённой БД без документации. Участие в планировании развития БД и в тестировании нового функционала, непосредственное взаимодействие с бэкенд и фронтенд разработчиками. Ad hoc аналитика для отделов HR, маркетинга, сервиса, продаж. В качестве дополнительной занятости вёл проект по разработке нескольких VBA решений для отдела бухгалтерии. Общение внутри компании по рабочим задачам преимущественно на английском языке. Excel, SQL SSMS, Python, Jira/Confluence/Bitbucket, Visual Studio Code.', 'Сбер\nСанкт-Петербург, rabota.sber.ru/\nФинансовый сектор... Показать еще\nСтарший экономист-аналитик\nУправление ликвидностью. Мониторинг и прогнозирование движения наличности в отделениях и устройствах Сбербанка по Санкт-Петербургу и ЛО.\nАнализ исторических данных, на основе выводов планирование распределения наличности по городу в рамках бизнес-плана и с учётом времени суток, дней недели, локации, социальных выплат, зарплат, паттернов передвижения людей, особых и форс-мажорных событий. Настройка ПО, создание триггеров и корректирование работы прогнозирующих алгоритмов. Выполнение бизнес-плана, личная ответственность за вверенный участок.\nПо собственной инициативе: обработка срочных заявок по инженерному сопровождению устройств; в личное время создание инструментов на VBA для ускорения/автоматизации рабочих процессов и упрощения анализа информации из csv отчётов.', 'Банк Москвы\nСанкт-Петербург\nСпециалист по работе с юридическими лицами\nПреддипломная практика. Предоставление банковских услуг малому и среднему бизнесу, сопровождение клиентов, наполнение БД.', 'ВКонтакте\nСанкт-Петербург, vk.com\nИнформационные технологии, системная интеграция, интернет... Показать еще\nИнженер по информационной безопасности\nСоздание и конфигурация поисковых скриптов для фильтрации данных на сайте, автоматизация поиска запрещённого контента (спам, вредоносное ПО, фишинг, мошенничество, шок-контент). В качестве дополнительной занятости модерация сайта и поддержка пользователей.', 'Грузоперевозки СПБ\nСанкт-Петербург\nСпециалист по логистике\nСоздание и оптимизация маршрутов и графиков работы, координация водителей, сопровождение заказов.', 'Bazar souvenirs\nСанкт-Петербург\nПродавец-консультант\nКонсультирование покупателей ювелирных изделий на английском и испанском языках.']",6,7;2,False,ENG,Бакалавр,"['Ключевые навыки', 'Экономический анализ', 'Экономическое моделирование', 'Финансовый анализ', 'Финансовое моделирование', 'Английский язык', 'HTML', 'CSS', 'JavaScript', 'MySQL', 'MS Access', 'Грамотная речь', 'Деловая переписка', 'MS PowerPoint', 'MS Office', 'Python', 'Анализ данных', 'Статистический анализ', 'MS Excel', 'VBA', 'Data Analysis', 'Базы данных', 'SQL Server', 'Power bi', 'Qlikview', 'Selenium', 'report builder', 'Atlassian Jira', 'Atlassian Confluence', 'bitbucket']",,,
4,4,4,https://hh.ru/resume/8606f37b000773de980039ed1f434a4e576c52?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog,Программист-разработчик,"Москва, м. Петровско-Разумовская, не готов к переезду, не готов к командировкам",Опыт работы 1 год 1 месяц,"Имеется опыт в создании Android-приложений на Kotlin, веб-сервисов на Java и Asp.Net, вёрстки на HTML+CSS+JS, различных сервисов и скриптов на Python, пользуюсь Docker и Git.

Cоздал аналитический чат-бот на языке Python, вследствие обладаю основами этих технологий разработки.

Имеется опыт работы Data-инженером, создавал скрипты вытягивания данных, а в дальнейшем структуру данных при помощи фреймворка dbt на Python и SQL.

Обладаю навыками по организации жизненного цикла айти-проектов, а также командной работы, переговоров, презентаций и использую их с заказчиками.

Ссылка на мой github:
https://github.com/ngadimov1999","Высшее образование (Бакалавр)
2022
Челябинский государственный университет, Челябинск
ИИТ, Программная инженерия","Специализации:
Программист, разработчик
Занятость: стажировка, частичная занятость, полная занятость
График работы: удаленная работа, гибкий график, полный день","Ключевые навыки
Администрирование серверов Linux
Linux
MS SQL
SQL
PostgreSQL
MySQL
Oracle Pl/SQL
Git
Docker
Java
C#
Big Data
HTML
CSS
JavaScript
XML
PHP
Python","Челябинский государственный университет, Челябинск",,Высшее образование (Бакалавр),1,"MoneyCare
BI-аналитик
Работа с big data(Python/SQL/dbt), Yandex DataLens, Excel, API, заказчиками",---,"['MoneyCare\nBI-аналитик\nРабота с big data(Python/SQL/dbt), Yandex DataLens, Excel, API, заказчиками']",1,1;1,False,RU,Бакалавр,"['Ключевые навыки', 'Администрирование серверов Linux', 'Linux', 'MS SQL', 'SQL', 'PostgreSQL', 'MySQL', 'Oracle Pl/SQL', 'Git', 'Docker', 'Java', 'C#', 'Big Data', 'HTML', 'CSS', 'JavaScript', 'XML', 'PHP', 'Python']",,,
5,5,5,https://hh.ru/resume/993bd0980002dd6cff0039ed1f6f6651625a59?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog,Аналитик Bi,"Москва, м. Сокол, готов к переезду, готов к командировкам",Опыт работы 10 лет 7 месяцев,"Уверенный пользователь.
Желание оптимизации и рационализации. Автоматизация отчетности.
Отличное понимание принципов РСБУ и финансовой отчетности.
Знание оргтехники, стандартных офисных и специализированных программ
- опыт в JavaScript
- опыт работы с sql запросами (для тестов qlikview);
- ERP Microsoft Dynamics AX;
- Excel (продвинутый пользователь, VBA макросы), работа с массивами, (ВПР, СУММЕСЛИМН, динамические диапазоны);
- 1С- Камин;
- 1С-конфигураиор (начинающий);
- 1С-7.8; 1С-8.0; 1С-8.2.
- 1С-8.3,
- Банк клиент, (Альфабанк, Сбербанк, МТС банк, Тинькофф, Райфазен, Росбанк) в том числе и валютные платежи;
- Платежные системы Webmoney, ePayment, Capitalist, Paysera
- Знание остальных офисных программ MS Office, Outlook, Power Point.

Аналитический, склад ума, математик, шахматист (разрядник).

Занимался программированием, сборкой компьютеров. Также имею навыки работы в Photoshop","Высшее образование
2010
Дальневосточный государственный технический университет, Владивосток
экономики, Экономика и управление на предприятии (по отраслям)","Специализации:
Аналитик
BI-аналитик, аналитик данных
Занятость: полная занятость
График работы: полный день","Ключевые навыки
Бюджетирование
Экономический анализ
Управление финансами
Планирование
Планово-экономический отдел
Финансовое планирование
Управление бюджетом
Финансовый контроль
Краткосрочное бюджетирование и планирование
Долгосрочное бюджетирование и планирование
Навыки программирования, составление сложных расчетных математических моделей в Excel
Автоматизация
Автоматизация управленческой отчетности
Big Data
MS SQL
SQL
Qlik
qlik sense
Power BI
DAX
Факторный анализ","Дальневосточный государственный технический университет, Владивосток",,Высшее образование,1,"Brixo
Аналитик отдела продаж
Формирование и разработка дашбордов анализа продаж в различных срезах","Смарт индастриз
Металлургия, металлообработка... Показать еще
Экономист
Разработка аналитических отчётов, сбор информации для отчётности, Бизнес аналитика, разработка отчетов Power bi напрямую из 1C","['Brixo\nАналитик отдела продаж\nФормирование и разработка дашбордов анализа продаж в различных срезах', 'Смарт индастриз\nМеталлургия, металлообработка... Показать еще\nЭкономист\nРазработка аналитических отчётов, сбор информации для отчётности, Бизнес аналитика, разработка отчетов Power bi напрямую из 1C', 'Голден Гус Интернешнл\nМосква, gg.agency\nИнформационные технологии, системная интеграция, интернет... Показать еще\nЭкономист\n- Бюджетирование и формирование управленческой отчетности, формирование справок по доходам\n- Автоматизация учёта пл. систем\n- Проведение оплат в 7 различных банк-клиентах и 6 различных платежных системах.\n- Работа с ЭДО\n- Учет и контроль дебиторской и кредиторской задолженности;\n\nРабота связана в основном:\n- с Excel (продвинутый пользователь, VBA макросы),\n- С массивами, (ВПР, СУММЕСЛИМН, динамические диапазоны);\n- 1С,\n-Google docs\n- Банк клиент, (Альфабанк, Сбербанк, МТС банк, Тинькофф, Райфазен, Росбанк) в том числе и валютные платежи;\n- Платежные системы Webmoney, ePayment, Capitalist, Paysera', 'ТФМ-Транс\nМосква\nПеревозки, логистика, склад, ВЭД... Показать еще\nГлавный экономист\nПостановка учета с нуля. Составление плана/факта и прогноза PL, CF, BL, контроль ДЗ и КЗ (62,60,76), автоматизация сбора информации из 1С. Подготовка презентаций. Разработка автоматизированных моделей сбора данных. Проведение оплаты платежей в программе банк-клиент. Проработка и согласование заключаемых договоров в части финансов и экономической целесообразности', 'ООО ""Шамса Холдинг""\nПетропавловск-Камчатский\nРозничная торговля... Показать еще\nЭкономист\n-знание XLS (сложные формулы, работа со сводными таблицами);\n-формирования взаимосвязанных форм фин.отчётности – баланс, отчёт о прибылях и убытках, отчёт о движении денежных средств\n- знания бухгалтерского учета\n- Практический опыт ведения управленческого учета и бюджетирования\n- контроль корректности отражения хозяйственных операций в бухгалтерском/управленческом учете, контрольные проверки по счетам, выявление несоответствий в учете, проведение корректировок\n- учет доходов, расходов\nподготовка отчетности для внутренних и внешних пользователей в различных аналитических разрезах (Баланс, БДР, ДДС)\n- Анализ перспективы открытия новых точек продаж, принятия иных решений (стимулирование продаж, закрытие, релокация, ротация персонала и пр.) Анализ рисков.\n- формирование консолидированного бюджета Группы компаний, бюджета дочерних компаний\n- контроль и анализ исполнения бюджетов компаний Группы (план-факт на ежедневной, ежемесячной, ежеквартальной и годовой основе)\nосуществление комплексного экономического анализа деятельности Группы компаний\n- анализ экономических показателей на ежемесячной основе\nконтроль полноты, своевременности и достоверности отражения операций в управленческом учете\n- подготовка аналитических записок и расшифровок к управленческой отчетности, финансовых отчетов по запросам руководства\nконтроль соблюдения процедур и регламентов, утвержденных в компании', 'ЗАО Муниципальный камчатпрофит банк\nКамчатский край\nСтарший экономист\nОсуществление подготовки и представление прогноза исполнения бюджета. Осуществление отражения данных в базе 1-С Финансы в соответствии с утвержденным бюджетом и его корректировок. Формирование ежеквартальных плановых показателей движения потока наличности. Осуществление расчета показателя «Качество бюджетного процесса». Осуществление подготовки проектов писем, обращений в органы власти и сторонним организациям по вопросам, входящим в компетенцию отдела.', 'ОАО Камчтакэнерго\nКамчатский край\nЭкономист\nОсуществление подготовки и представление прогноза исполнения бюджета. Осуществление отражения данных в базе 1-С Финансы в соответствии с утвержденным бюджетом и его корректировок. Формирование ежеквартальных плановых показателей движения потока наличности. Осуществление расчета показателя «Качество бюджетного процесса». Осуществление подготовки проектов писем, обращений в органы власти и сторонним организациям по вопросам, входящим в компетенцию отдела.', 'ГУП Камчатсккомунэнерго\nКамчатский край\nЭкономист\nОсуществление подготовки и представление прогноза исполнения бюджета. Осуществление отражения данных в базе 1-С Финансы в соответствии с утвержденным бюджетом и его корректировок. Формирование ежеквартальных плановых показателей движения потока наличности. Осуществление расчета показателя «Качество бюджетного процесса». Осуществление подготовки проектов писем, обращений в органы власти и сторонним организациям по вопросам, входящим в компетенцию отдела.']",8,10;7,False,RU,Высшее образование,"['Ключевые навыки', 'Бюджетирование', 'Экономический анализ', 'Управление финансами', 'Планирование', 'Планово-экономический отдел', 'Финансовое планирование', 'Управление бюджетом', 'Финансовый контроль', 'Краткосрочное бюджетирование и планирование', 'Долгосрочное бюджетирование и планирование', 'Навыки программирования, составление сложных расчетных математических моделей в Excel', 'Автоматизация', 'Автоматизация управленческой отчетности', 'Big Data', 'MS SQL', 'SQL', 'Qlik', 'qlik sense', 'Power BI', 'DAX', 'Факторный анализ']",,,
6,6,6,https://hh.ru/resume/83da3b970003d5d5870039ed1f4836304d3830?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+BI&source=search&hhtmFrom=resumes_catalog,BI аналитик,"Москва, готов к переезду (Нидерланды, Испания, Франция, Италия, Австрия, Германия, Швейцария), готов к командировкам",Опыт работы 2 года 7 месяцев,Academic IELTS 8.0,"Высшее образование (Магистр)
2023
Московский гуманитарно-экономический институт, Москва
аспирантура, Экономика и управление народным хозяйством
2020
Российский экономический университет им. Г.В. Плеханова, Москва
МШБиМЭ, Международные Корпоративные Финансы (на английском языке)
2020
SKEMA Business School
Msc Corporate Financial Management, Fintech
2018
Российский экономический университет им. Г.В. Плеханова, Москва
МШБиМЭ, Финансы и кредит (на английском языке)
2018
NEOMA Business School
Bachelor of science in International Business","Специализации:
Аналитик
BI-аналитик, аналитик данных
Занятость: полная занятость
График работы: удаленная работа, гибкий график, полный день","Ключевые навыки
MS Word
MS Excel
MS PowerPoint
Аналитика
Английский язык
Python
VBA
Французский язык
Финансовое моделирование
SQL
Power BI
DAX
Power Query
M
Бизнес Английский
Olap
MDX
Power Pivot
SAP","Московский гуманитарно-экономический институт, Москва","Российский экономический университет им. Г.В. Плеханова, Москва",Высшее образование (Магистр),5,"Nestle
www.nestle.ru
Продукты питания... Показать еще
Специалист по работе с ключевыми клиентами
Работа над проектом Image Recognition
Обеспечение полноты и корректности привязки матриц и баллов в crm системе, составление ТЗ
Формирование и поддержание отчётов в Excel и Power BI
Обеспечение участия продукции в согласованных промо-активностях","Nestle
www.nestle.ru
Продукты питания... Показать еще
Аналитик отдела продаж детского питания
Работа в отделе NKA бизнеса Детского Питания:
Формирование аналитических отчётов
Сбор ревизии, участие в ежемесячном планировании торгового бюджета
Составление презентаций

Трансформировал отчёт для планирования и контроля торгового бюджета, что позволило значительно упростить подготовку к ежемесячным и ежеквартальным встречам.

Составил отчёт по Sell-out и остаткам e-com клиента в Power BI.

Собрал отчёт по ежедневным продажам для NKA в Power BI","['Nestle\nwww.nestle.ru\nПродукты питания... Показать еще\nСпециалист по работе с ключевыми клиентами\nРабота над проектом Image Recognition\nОбеспечение полноты и корректности привязки матриц и баллов в crm системе, составление ТЗ\nФормирование и поддержание отчётов в Excel и Power BI\nОбеспечение участия продукции в согласованных промо-активностях', 'Nestle\nwww.nestle.ru\nПродукты питания... Показать еще\nАналитик отдела продаж детского питания\nРабота в отделе NKA бизнеса Детского Питания:\nФормирование аналитических отчётов\nСбор ревизии, участие в ежемесячном планировании торгового бюджета\nСоставление презентаций\n\nТрансформировал отчёт для планирования и контроля торгового бюджета, что позволило значительно упростить подготовку к ежемесячным и ежеквартальным встречам.\n\nСоставил отчёт по Sell-out и остаткам e-com клиента в Power BI.\n\nСобрал отчёт по ежедневным продажам для NKA в Power BI', 'Nestle\nwww.nestle.ru\nПродукты питания... Показать еще\nСтажер в департаменте финансового контроля и административной поддержки\nРабота с Power BI:\n1) Сбор и обработка данных, формирование базы данных\n2) Построение динамических аналитических отчётов\n3) Публикация отчётов\n\nЗа время стажировки создал отчёт в Power BI, содержащий информацю о результах продаж всех бизнесов компании по регионам. Настроил упрошённый процесс агрегации данных с использованием Power Query и SQL, а также использовал DAX для составления требуемых мер.', 'Россельхозбанк\nМосква, www.rshb.ru\nФинансовый сектор... Показать еще\nСтажер департамента малого и среднего бизнеса\nАнализ компаний и рынков, работа с большим количеством информации']",4,2;7,False,RU,Магистр,"['Ключевые навыки', 'MS Word', 'MS Excel', 'MS PowerPoint', 'Аналитика', 'Английский язык', 'Python', 'VBA', 'Французский язык', 'Финансовое моделирование', 'SQL', 'Power BI', 'DAX', 'Power Query', 'M', 'Бизнес Английский', 'Olap', 'MDX', 'Power Pivot', 'SAP']",,,
